phase	read_thru	write_thru	read_util	write_util	read_qocc	write_qocc	read_respt	write_respt	
1	0.019343824136262122	0.010054754325204166	0.660149872330074	0.3398191276699257	11.21793	5.858226999999999	579.9230762737735	582.6325348711139	
2	0.018584017441575625	0.011202116480888275	0.6263728994914998	0.3736011005084997	11.033684000000004	6.674213999999999	593.7189864725249	595.7993751793916	
3	0.018023341649692895	0.011312653249769032	0.6172953418125187	0.3826796581874808	11.00136000000001	6.877181999999993	610.395131703419	607.9194551587977	
4	0.01835922182207027	0.011607655775792813	0.6149952548838138	0.38499474511618653	11.800440999999985	7.466706999999999	642.7527873656528	643.2571006775927	
5	0.017933291663115213	0.011314539434468774	0.6160639826226124	0.3839180173773873	11.06384800000001	6.994742000000001	616.9446305697398	618.2082832900047	
6	0.018317596763040383	0.0113296202753933	0.6200305522670839	0.37994844773291664	11.397194999999995	7.063861000000002	622.1992517597199	623.4861211846559	
7	0.018338034840323408	0.011385623047304463	0.6184037111732713	0.381585288826728	12.377502000000007	7.733454000000007	674.9633811788373	679.2297591330231	
8	0.018002916164023018	0.011403476782697214	0.6149978449886011	0.3849811550113986	10.942331999999995	6.929393999999999	607.8088627589748	607.6562553724094	
9	0.01848985471990037	0.011346507861635224	0.6223762047122274	0.3776047952877721	11.997991000000015	7.350323000000003	648.8959043624474	647.804865570392	
10	0.018447918326508685	0.011367334891793625	0.6215210243787709	0.37845497562122893	11.086541999999998	6.832279000000001	600.9643908748892	601.0449296195541	
11	0.018482201943062257	0.011521745990890685	0.6175162091834903	0.38247379081650973	11.767448999999994	7.40834	636.6908573043263	642.9876171421568	
12	0.01823572666525447	0.011464406795824849	0.6168558078289273	0.3831201921710729	11.060349000000002	6.956764000000003	606.5208808527434	606.8141268795124	
13	0.016741614242835417	0.010445407644278596	0.6196869222502589	0.3802030777497409	8.712737999999998	5.4134189999999975	520.4240089170983	518.2582800361231	
14	0.018796130152931488	0.008087512437562198	0.7023311121522715	0.2976408878477282	11.205904	4.824846000000001	596.1814431388315	596.5797316850055	
15	0.022146792910819994	0.007109300577877856	0.7593155248477689	0.24067247515223023	14.678810999999996	4.7954569999999945	662.7962368686143	674.5328809028146	
16	0.02128653053661334	0.009940935608745443	0.6837878806962305	0.3162111193037699	16.224649999999983	7.643461999999996	762.2026507369625	768.8875877312528	
17	0.02090820185852251	0.009942969883481886	0.6800686282402938	0.3199243717597062	16.036803000000003	7.665853000000004	767.0101479082072	770.9822205873495	
18	0.021277783397031586	0.00997534474741656	0.6830802774776752	0.31690972252232497	15.327114999999992	7.248255000000003	720.3341961897329	726.61699254827	
19	0.005181278985408163	0.0033909522977947585	0.42751537795815303	0.2428156220418471	0.7906309999999998	0.45546600000000004	152.5937904958647	134.31802042635744	
20	0.012671203027799784	0.007527257126965298	0.6164819535019697	0.33729604649803047	2.934960000000002	1.642143999999998	231.6244158949149	218.1596791900807	
21	0.018361636962390293	0.01641964458526585	0.5334166277083835	0.4659483722916178	7.016752999999999	6.188843999999999	382.1420178588787	376.9170500531754	
22	0.017008458203721686	0.014913683219818655	0.5374993985423189	0.4595636014576813	5.496988000000001	4.768352000000001	323.19143417697813	319.7300042999024	
23	0.017207217453627077	0.013412326511409084	0.5642324395219095	0.4357605604780898	12.822480999999998	10.069699000000007	745.1803892498128	750.7794409444402	
24	0.014426310765485296	0.014886692518844495	0.49332635759905347	0.5066506424009469	15.893882000000001	16.41016000000001	1101.7287966668405	1102.3375393309839	
25	0.014533289182053395	0.014448777087888996	0.5026647449535379	0.49732425504646216	16.019169000000005	15.911422000000009	1102.2397476120868	1101.2296683113068	
26	0.013480793615316265	0.011710707088800324	0.5387640307727484	0.4610349692272516	8.270418	7.157262999999995	613.4963738784286	611.172574442147	
27	0.016559197593654644	0.014596997279551629	0.5331417744857616	0.46684622551423827	16.720009000000005	14.729356000000005	1009.7113042727977	1009.0675306649397	
28	0.019474594110097835	0.012028661350476729	0.6205524516535367	0.37944154834646227	15.772254999999996	9.794896000000005	809.8887664016511	814.2964303847333	
29	0.01976258612590044	0.01201043018248924	0.6238797980231622	0.37612020197683793	15.819935999999998	9.676390999999995	800.499281785126	805.6656466899756	
30	0.01984560508163654	0.01181065375401647	0.6289274209262915	0.3710585790737086	15.173211	9.090225000000006	764.5627804032047	769.6631523812707	
31	0.019898038938927477	0.0117378306878307	0.6307339374775521	0.36925306252244705	14.949119000000003	8.878759	751.286046121577	756.4224801099859	
32	0.019888605528238956	0.0116270599406345	0.6338596819627926	0.3661343180372076	15.109493999999987	8.859574999999998	759.7060527218301	761.9789564374192	
33	0.019822159785364654	0.012063246603160726	0.6241142342267243	0.37587276577327594	15.77912600000001	9.609901	796.0346486385531	796.6264237259381	
34	0.019722556869658906	0.011889684980837104	0.6255177193793322	0.3744692806206679	15.270643999999997	9.271646000000006	774.2730367527695	779.8058581823947	
35	0.01994334602824027	0.01182637007056353	0.6302868631076789	0.3697081368923206	16.076890000000002	9.580945999999992	806.1280176974682	810.134127617694	
36	0.019607139705233458	0.011930668707709794	0.6236053373609564	0.3763926626390442	15.658266000000005	9.568733000000005	798.600215809171	802.0282210850875	
37	0.019702727485094145	0.011777795470091978	0.628083678661365	0.37190132133863574	14.942009	8.988695000000009	758.3726167508631	763.1899384588152	
38	0.019657616032256357	0.011734177890995623	0.6279520271645216	0.372019972835479	15.281482000000011	9.204786	777.3822611513264	784.4423431711748	
39	0.018722506326675364	0.00970045540796965	0.6616559857951989	0.3383210142048021	11.618902999999992	6.048868000000009	620.5848083194752	623.5653632334015	
