phase	read_thru	write_thru	read_util	write_util	read_qocc	write_qocc	read_respt	write_respt	
1	0.02021646134907579	0.010301329158978486	0.6609246803808915	0.33406581961910753	11.500651999999995	5.9129859999999965	568.8756207834441	574.0022388126803	
2	0.019588808967501495	0.011663912007572061	0.628015794192071	0.36996733080792965	11.710882999999992	6.983814000000002	597.8353773028645	598.7540025564493	
3	0.019272266036528325	0.011912323416207201	0.6181281867016044	0.3793083132983954	11.425773000000001	7.097001999999999	592.8609006509035	595.7697547351878	
4	0.01950755680040947	0.011905456070476614	0.6218214349791157	0.37738031502088454	12.790952999999991	7.863057999999998	655.69220845388	660.458360725799	
5	0.019264493329852472	0.01200230542863388	0.6162753484848688	0.38224552651513133	11.739923999999991	7.384707000000007	609.4073588640754	615.2740441334149	
6	0.019454435244064247	0.012094144099963714	0.6170369119382578	0.38128108806174243	11.736749999999995	7.337747000000003	603.2943055276303	606.7189988270454	
7	0.01947474699124723	0.011953816216591022	0.6213985166836393	0.3769972333163604	12.063694999999997	7.417256	619.453233740183	620.4927251353749	
8	0.01925290983992668	0.011903624548955693	0.6189064251430915	0.3798579498569093	12.016209999999987	7.478548000000001	624.1243583388509	628.2580544474662	
9	0.019545060208124444	0.012081486374329034	0.6189747804213128	0.3793983445786868	11.921692000000002	7.398960999999996	609.9593387307357	612.4214165999844	
10	0.01952037626040467	0.011931340264194429	0.620943061459545	0.3773424385404552	11.807946000000012	7.282120999999997	604.9036064920209	610.335539742623	
11	0.019778861463414663	0.012087695497147033	0.6219852425248833	0.3773091324751174	12.726115000000002	7.810928999999998	643.419997836566	646.1884320169673	
12	0.018739769495168486	0.011878479063130453	0.6117732663410593	0.3846138586589399	10.772983000000014	6.859483000000005	574.8727593889306	577.4714897036876	
13	0.014317495263565086	0.007293116073452738	0.4879417727324189	0.2433806022675809	4.497374	2.264024000000001	314.11737299084984	310.43301343319456	
14	0.022264894114002034	0.005365746011804275	0.8052456819215242	0.1932839430784759	14.603077000000013	3.599369999999999	655.8790230588329	670.8051391328681	
15	0.02269241425461056	0.0094036148051134	0.7080774521348365	0.2915949228651638	15.144704999999998	6.395070000000005	667.3906456173104	680.065074180044	
16	0.021708865158948987	0.010546365451364661	0.6744313249874379	0.32538492501256205	15.321363000000005	7.530947999999994	705.7652663010863	714.0799391723637	
17	0.021891113541894543	0.010409413501494491	0.6795948468285221	0.3202686531714782	15.486430999999989	7.437814999999993	707.4300249899362	714.5277684407616	
18	0.016486217422217887	0.008129680418822822	0.5812039188949065	0.2822177061050929	6.102670000000007	3.000674	370.16799206928187	369.1011018160659	
19	0.002564019406517957	0.0018828270983133972	0.0358295	0.02225587500000001	0.286636	0.17804700000000007	111.79166556670621	94.56364854717216	
20	0.01977164003642682	0.014866307014098048	0.5666208453099468	0.4214871546900532	9.117290999999991	6.908608999999997	461.1297283989847	464.7158836050143	
21	0.01769942404141723	0.016187980692710702	0.47838349683660697	0.4331923781633923	5.649338000000006	5.162151999999999	319.18202461166936	318.88795137521186	
22	0.01863516022454829	0.013474664207707944	0.55904414507063	0.4010973549293695	7.505412000000006	5.484956000000002	402.75543164437346	407.05697117575886	
23	0.016524156551395355	0.016856390947973875	0.496072182329132	0.5039183176708684	14.718507000000002	15.052798000000003	890.7266736562794	893.0024253981447	
24	0.016304874141061722	0.016581188057863964	0.49644087267786263	0.5035445023221378	14.483319000000003	14.754510999999999	888.2815576923488	889.8343682316765	
25	0.01399439077442138	0.012570248756218908	0.5111878081838752	0.45617656681612473	7.19999800000001	6.468549999999995	514.4917071459801	514.592043916378	
26	0.01807023531789815	0.01627191843916576	0.5273933308889056	0.4725929191110935	15.616844999999998	14.102028	864.2303060952324	866.6481492469301	
27	0.020341065362502325	0.012929780746229611	0.6130487171107332	0.3868790328892674	15.35680599999999	9.859889999999998	754.9656680376952	762.572095654073	
28	0.020797716683723787	0.012482675147500358	0.6268827662496547	0.37302285875034624	15.189266999999996	9.170885999999998	730.333393371353	734.6891504932304	
29	0.020608702025288136	0.012120741659573256	0.6313208922429527	0.36845523275704745	14.576806999999992	8.681067000000015	707.3132010989027	716.2158260458837	
30	0.020699834279951555	0.012420954858733855	0.6256933069280425	0.3741606930719576	14.868393000000005	9.050078000000003	718.2856055229637	728.6137098901376	
31	0.020450541652761334	0.012532850245492505	0.6215376970050623	0.3783521779949379	15.036586999999995	9.299056999999996	735.2659531132605	741.9746360844329	
32	0.020731738561269662	0.012335640906596881	0.6276761198012786	0.3721327551987222	14.529101999999996	8.763257000000001	700.8144520567502	710.4014348629075	
33	0.020715395125921035	0.012316984037979888	0.6291974429883755	0.37071043201162457	15.070666999999988	9.02885000000001	727.5104775164131	733.0406511983134	
34	0.020752141139021813	0.012542423725286163	0.6253045282588398	0.37454334674116047	14.556882999999988	8.853636000000003	701.4641478429223	705.8951438668607	
35	0.020573119377493624	0.01239736783569363	0.6256082825396395	0.3742672174603607	15.138733000000002	9.209776000000002	735.8501509771689	742.8815634141193	
36	0.020596815474246077	0.012517558587981863	0.6242214428205966	0.3756890571794044	15.022481999999995	9.163273000000006	729.3594497063812	732.0335619437552	
37	0.020039389028650195	0.012200437301623153	0.6232722346870969	0.3761505153129037	13.522103000000014	8.283767999999998	674.7762110245749	678.9730396711208	
38	0.019668694509917158	0.01068177328471992	0.6477277045693626	0.3494059204306369	11.887455	6.549659	604.3845459090446	613.1621431592419	
39	0.018341702098300133	0.013969916604874658	0.5682878361856895	0.43073166381431094	11.730926000000013	8.983863999999999	639.576738141833	643.0864445436398	
40	0.018753878505901198	0.013124743534198596	0.5894667354910504	0.40890813950894983	11.595251999999988	8.160170999999998	618.2855453793925	621.7394632312153	
41	0.019072675009671507	0.012961605974857373	0.5961670994854327	0.40221802551456803	11.799456000000006	8.057215999999997	618.6576342341415	621.6217354260884	
42	0.019082731349804313	0.012613019895273388	0.602987666946489	0.39475258305351113	11.596633999999993	7.722673000000004	607.7030477148604	612.2778735086276	
43	0.01898697673591664	0.012639826117458411	0.6006996793005425	0.397222820699457	11.640711999999997	7.775195000000003	613.0892854563776	615.1346488272279	
44	0.0190816362146953	0.012331553040397538	0.6076619903153704	0.38973400968462796	11.56892600000001	7.533018000000005	606.285848332569	610.8734216462616	
45	0.01904469236212501	0.012728046223815235	0.6001249799010534	0.3979492700989455	11.737367999999993	7.885602999999998	616.3065161053794	619.5454401513233	
46	0.01923948013238977	0.012660200635873522	0.603461879733129	0.39470287026687056	11.956121	7.943325999999999	621.4368017081607	627.424969671654	
47	0.019133868788201502	0.012564124259840142	0.6043387120259005	0.3937950379740993	11.618655999999998	7.6776519999999975	607.2298356704733	611.0773692791927	
48	0.018808262775795632	0.012621684949354854	0.5992625794108477	0.39910667058915267	11.807276999999994	7.968074000000004	627.7707378267166	631.3003400078754	
49	0.019015871963889135	0.012593439512393771	0.6015477196081684	0.39630678039183126	11.766868999999996	7.857781000000006	618.7919766364178	623.9582913203982	
50	0.0189895767933438	0.01102973641905825	0.6330783670360689	0.36420688296393094	11.887729000000013	6.957751000000009	626.0133719339592	630.8175223460219	
51	0.019404658169028005	0.014059379191415975	0.5812759481261901	0.4186528018738098	14.898251999999996	10.859868000000002	767.7667841518211	772.428700595155	
52	0.019909495833342627	0.013182513402771727	0.6030745766770418	0.39684317332295765	15.115008	10.110898000000002	759.1858742443266	766.9931894682622	
53	0.02034236624105058	0.012474003959970259	0.6210815889707062	0.3787882860292937	14.757473	9.140383000000009	725.4550835005442	732.7545373026963	
54	0.020323616182367103	0.012464375411554101	0.621127503535917	0.3787583714640828	14.73098400000001	9.109278000000002	724.8210095987102	730.8250673801091	
55	0.02064309094813013	0.012641071209359868	0.6215512233039451	0.378357276696055	14.916994000000003	9.211195000000012	722.614362232958	728.6720284575043	
56	0.02013597011963763	0.012606757020679392	0.61626615074381	0.3835932242561909	14.626009000000003	9.231410000000006	726.3622717504915	732.2588977369309	
57	0.020522517540642406	0.012482297981945646	0.6233718198221825	0.37652705517781804	14.91759599999999	9.159102000000006	726.8891825994284	733.7672929493992	
58	0.02072694538383016	0.012578265256419176	0.6239776658894232	0.37591770911057637	14.819594999999985	9.062133999999997	714.991752309112	720.4597625555112	
59	0.02028142770800705	0.012572883184263835	0.6193619848096724	0.3804936401903279	14.771890000000012	9.197394000000022	728.3456674092087	731.5262430427605	
60	0.020543240959915717	0.012617071936558881	0.6207851347916009	0.3790648652083981	14.583673999999998	9.064448999999996	709.9013261079829	718.4273059215187	
61	0.020438273966000245	0.0123596836307412	0.6246580552926119	0.37518856970738745	14.506736000000013	8.853167000000003	709.7828331361276	716.2939816663483	
62	0.019799186055590258	0.01186096706110302	0.6261135337642807	0.3728843412357191	12.71146200000001	7.716547999999996	642.0194226323235	650.5833765701723	
63	0.020353703186503418	0.010309552451929663	0.6648067284025303	0.33463277159747007	14.341809999999997	7.3730569999999975	704.6290234550576	715.1675142425765	
64	0.020160268104516373	0.01280872830604968	0.6127265093087301	0.38722924069126924	15.554949000000002	9.959239999999998	771.5645902801922	777.5354244414847	
65	0.02154129494360395	0.01059160015344029	0.6718542136089942	0.3279460363910062	15.091125000000002	7.518087000000005	700.5672147152353	709.8159759701684	
66	0.02108607017796735	0.010222861087247919	0.6749156840527798	0.3238998159472199	13.103972	6.416714000000008	621.4515976377725	627.6827930298564	
67	0.0037688621824407426	0.0025078700541306866	0.06069926666666664	0.03744198333333333	0.4856019999999998	0.299541	128.84578328770846	119.44039903767307	
68	0.013430066370780565	0.00847835054666974	0.3798900610160019	0.2261238139839983	3.3152249999999994	1.9808739999999994	246.85097664244202	233.63907744744975	
69	0.019403923062273853	0.017984468460469853	0.5064086723906414	0.4655850776093586	7.5270009999999985	7.004458000000001	387.9112989596623	389.4726171860965	
70	0.017305690782903966	0.015653496347187747	0.4684394641456464	0.42067503585435395	5.271503	4.77513200000001	304.6109552129314	305.05210427687575	
71	0.018194370472514973	0.01484180106036794	0.5521073675782889	0.4475102574217099	12.665737000000002	10.440576000000002	696.1349401526857	703.4574818469621	
72	0.016162771977365115	0.017052508109495684	0.4870669784082701	0.5129310215917298	14.49398300000002	15.341432999999995	896.7510659865694	899.6584491554719	
73	0.01606480297409238	0.015495736063605684	0.5101242057132372	0.4896097942867624	12.149285999999996	11.754794999999993	756.2673516502558	758.582551467696	
74	0.01601767898052694	0.013679932654031975	0.5380152787340546	0.4562832212659452	9.625664999999987	8.284848999999998	600.940062021603	605.6205983995214	
75	0.019131053222516767	0.014641869802007811	0.567716285078028	0.43226333992197147	15.642490999999989	12.072184000000007	817.6492333202634	824.4974284872122	
76	0.020571235368864137	0.012254312871320356	0.628625874852387	0.3712315001476139	14.620720999999998	8.763110000000003	710.7361681413349	715.1041508421852	
77	0.02054979926720784	0.012624694281866147	0.6210382296549007	0.3788867703450993	15.060296000000012	9.329112000000011	732.8682778927357	738.9574584313029	
78	0.02072338808965941	0.012387862524126757	0.6269591393171545	0.37293711068284513	15.09895499999999	9.137599999999996	728.5949061357438	737.6252345554765	
79	0.02062195101098131	0.012559900283039419	0.6231610702683954	0.3767264297316043	14.902609999999996	9.141288000000007	722.6576181887092	727.8153324468808	
80	0.020531222131284717	0.01248381587488935	0.6235594594563603	0.37634216554363853	15.078849999999994	9.247078000000005	734.4350912761008	740.7252792473572	
81	0.02066520332031653	0.01235628207784756	0.6275450404106834	0.3723127095893161	14.883749000000009	8.97598800000001	720.2324007800778	726.4311338515193	
82	0.020707057766500444	0.012487659226104411	0.6250314367164803	0.3748323132835199	14.649418000000004	8.922838999999993	707.4601406530871	714.5325507720087	
83	0.020641154914775747	0.012553540437984779	0.6233807246419377	0.37650490035806194	14.96038600000001	9.180208000000007	724.7843476670378	731.2843771325523	
84	0.020476524390934652	0.012385615716147125	0.6249214272496489	0.3749679477503502	14.916788999999982	9.090457999999998	728.4824668098424	733.952853724403	
85	0.02023506367881329	0.012735109777647819	0.6154313465065904	0.3843162784934095	14.106070000000003	8.939544999999994	697.1102351790212	701.960576397256	
86	0.019560684294471463	0.01041545060568859	0.6524478679316752	0.34589425706832444	12.641285999999994	6.8323130000000045	646.2599063353251	655.9786281611678	
87	0.019044470767853875	0.012259961777981072	0.6084945928968635	0.3882671571031373	11.294962999999997	7.360366	593.083585135132	600.3579891431016	
88	0.018122678935903837	0.013910970952436048	0.5673132070308782	0.4316050429691211	11.865075999999986	9.135219999999993	654.708723912414	656.6917601391627	
89	0.018837941804591574	0.012844089209746038	0.5953785246437316	0.4029224753562674	11.829298000000005	8.113011000000004	627.9506605714603	631.6532739311626	
