33.5601	32.855	121.672	120.381	14863.6	771926.0
4.95877	2.0	121.049	111.857	2130.22	1428440.0
5.6998	2.0	119.852	115.286	2469.04	714145.0
4.97273	2.0	118.423	108.692	2139.85	769106.0
5.96567	2.0	117.578	105.0	2592.89	869443.0
5.26798	2.24359	116.892	110.662	2436.86	280321.0
34.7085	41.7805	123.91	111.239	13720.5	20241.0
33.0	33.0	129.687	114.398	1162.59	2389.59
32.9837	32.8575	136.03	118.842	1841.33	4286.14
32.8958	29.7734	136.339	120.074	2707.8	4238.2
26.3312	22.6039	137.541	122.891	3749.6	5135.59
20.6595	17.911	131.685	114.539	1180.69	7419.56
32.9558	18.0194	136.957	115.9	1828.28	5679.44
32.9789	26.4237	131.334	116.608	1911.74	3909.14
32.2698	21.6023	134.173	117.217	3054.56	3670.6
30.4214	27.6323	133.831	117.728	3458.58	14426.6
31.6457	31.6721	131.935	113.549	1581.65	9726.62
32.8238	19.4533	134.483	115.956	1552.14	5298.43
32.9991	25.5099	133.34	117.8	2016.24	3740.48
32.1619	22.5312	137.109	122.74	4002.75	6765.62
23.3112	23.3924	130.119	114.106	1081.36	7100.21
32.9964	24.8739	129.694	114.582	1465.72	4182.84
32.7424	23.9469	134.035	116.702	2443.99	3973.98
					
